Time: 00:36:56.456, Sensor: 2, Data: 23.84
Time: 00:36:56.457, Sensor: 1, Data: 23.13
Time: 00:36:57.457, Sensor: 2, Data: 28.87
Time: 00:36:57.457, Sensor: 1, Data: 27.93
Time: 00:36:58.457, Sensor: 1, Data: 26.80
Time: 00:36:58.457, Sensor: 2, Data: 29.57
Time: 00:36:59.458, Sensor: 2, Data: 21.29
Time: 00:36:59.458, Sensor: 1, Data: 24.86
Time: 00:37:00.458, Sensor: 1, Data: 20.99
Time: 00:37:00.458, Sensor: 2, Data: 26.56
Time: 00:37:01.458, Sensor: 1, Data: 20.03
Time: 00:37:01.458, Sensor: 2, Data: 25.99
Time: 00:37:02.458, Sensor: 1, Data: 24.53
Time: 00:37:02.458, Sensor: 2, Data: 27.76
Time: 00:37:03.458, Sensor: 2, Data: 25.00
Time: 00:37:03.458, Sensor: 1, Data: 25.13
Time: 00:37:04.459, Sensor: 2, Data: 23.53
Time: 00:37:04.459, Sensor: 1, Data: 25.17
Time: 00:37:05.459, Sensor: 2, Data: 20.06
Time: 00:37:05.459, Sensor: 1, Data: 25.38
Time: 00:37:06.459, Sensor: 1, Data: 22.61
Time: 00:37:06.459, Sensor: 2, Data: 28.64
Time: 00:37:07.459, Sensor: 1, Data: 26.68
Time: 00:37:07.459, Sensor: 2, Data: 24.49
Time: 00:37:08.459, Sensor: 1, Data: 29.69
Time: 00:37:08.459, Sensor: 2, Data: 25.99
Time: 00:37:09.459, Sensor: 1, Data: 23.13
Time: 00:37:09.459, Sensor: 2, Data: 27.53
Time: 00:37:10.460, Sensor: 1, Data: 29.64
Time: 00:37:10.460, Sensor: 2, Data: 20.42
Time: 00:37:11.460, Sensor: 2, Data: 25.85
Time: 00:37:11.460, Sensor: 1, Data: 26.70
Time: 00:37:12.460, Sensor: 2, Data: 28.54
Time: 00:37:12.460, Sensor: 1, Data: 25.36
Time: 00:37:13.460, Sensor: 1, Data: 23.50
Time: 00:37:13.460, Sensor: 2, Data: 23.43
Time: 00:37:14.460, Sensor: 2, Data: 26.21
Time: 00:37:14.460, Sensor: 1, Data: 24.48
Time: 00:37:15.460, Sensor: 2, Data: 21.27
Time: 00:37:15.460, Sensor: 1, Data: 28.24
Time: 00:37:16.461, Sensor: 2, Data: 22.69
Time: 00:37:16.461, Sensor: 1, Data: 28.66
Time: 00:37:17.461, Sensor: 2, Data: 22.77
Time: 00:37:17.461, Sensor: 1, Data: 22.94
Time: 00:37:18.461, Sensor: 1, Data: 21.58
Time: 00:37:18.461, Sensor: 2, Data: 21.60
Time: 00:37:19.461, Sensor: 1, Data: 29.06
Time: 00:37:19.461, Sensor: 2, Data: 20.45
Time: 00:37:20.461, Sensor: 2, Data: 20.25
Time: 00:37:20.462, Sensor: 1, Data: 25.35
Time: 00:37:21.462, Sensor: 2, Data: 24.56
Time: 00:37:21.462, Sensor: 1, Data: 20.62
Time: 00:37:22.462, Sensor: 1, Data: 22.26
Time: 00:37:22.462, Sensor: 2, Data: 24.87
Time: 00:37:23.462, Sensor: 1, Data: 22.57
Time: 00:37:23.462, Sensor: 2, Data: 29.44
Time: 00:37:24.462, Sensor: 2, Data: 28.89
Time: 00:37:24.462, Sensor: 1, Data: 22.28
Time: 00:37:25.462, Sensor: 1, Data: 24.50
Time: 00:37:25.462, Sensor: 2, Data: 23.69
Time: 00:37:26.463, Sensor: 1, Data: 23.72
Time: 00:37:26.463, Sensor: 2, Data: 24.98
Time: 00:37:27.463, Sensor: 2, Data: 29.25
Time: 00:37:27.463, Sensor: 1, Data: 27.57
Time: 00:37:28.463, Sensor: 1, Data: 29.56
Time: 00:37:28.463, Sensor: 2, Data: 26.92
Time: 00:37:29.463, Sensor: 2, Data: 20.66
Time: 00:37:29.463, Sensor: 1, Data: 23.69
Time: 00:37:30.463, Sensor: 2, Data: 24.19
Time: 00:37:30.463, Sensor: 1, Data: 26.55
Time: 00:37:31.463, Sensor: 1, Data: 24.66
Time: 00:37:31.463, Sensor: 2, Data: 28.64
Time: 00:37:32.464, Sensor: 2, Data: 22.16
Time: 00:37:32.464, Sensor: 1, Data: 28.89
Time: 00:37:33.464, Sensor: 1, Data: 21.24
Time: 00:37:33.464, Sensor: 2, Data: 28.87
Time: 00:37:34.464, Sensor: 1, Data: 25.51
Time: 00:37:34.464, Sensor: 2, Data: 24.79
Time: 00:37:35.464, Sensor: 1, Data: 21.81
Time: 00:37:35.464, Sensor: 2, Data: 29.68
Time: 00:37:36.464, Sensor: 1, Data: 27.22
Time: 00:37:36.464, Sensor: 2, Data: 27.33
Time: 00:37:37.465, Sensor: 1, Data: 23.55
Time: 00:37:37.465, Sensor: 2, Data: 25.23
Time: 00:37:38.465, Sensor: 2, Data: 20.48
Time: 00:37:38.465, Sensor: 1, Data: 23.35
